cols,vals,sel_idx,count_cols,rez_1,rez_0,proc,tot_rows,rez,target_ind
[0],[0],"[24, 25]",1,2,0,0.0,2,1,24
[1],[1],"[24, 25]",1,2,1,0.3333333333333333,3,1,24
[3],[2],"[24, 25]",1,1,1,0.5,2,1,24
[4],[1],"[24, 25]",1,1,1,0.5,2,1,24
[6],[0],"[24, 25]",1,2,0,0.0,2,1,24
[7],[0],"[24, 25]",1,1,2,0.6666666666666666,3,1,24
[8],[1],"[24, 25]",1,2,1,0.3333333333333333,3,1,24
[9],[1],"[24, 25]",1,3,1,0.25,4,1,24
[10],[0],"[24, 25]",1,3,2,0.4,5,1,24
[11],[0],"[24, 25]",1,1,1,0.5,2,1,24
[12],[1],"[24, 25]",1,1,2,0.6666666666666666,3,1,24
[13],[0],"[24, 25]",1,2,1,0.3333333333333333,3,1,24
"[0, 8]","[0, 1]","[24, 25]",2,2,0,0.0,2,1,24
"[0, 9]","[0, 1]","[24, 25]",2,2,0,0.0,2,1,24
"[0, 10]","[0, 0]","[24, 25]",2,2,0,0.0,2,1,24
"[0, 13]","[0, 0]","[24, 25]",2,2,0,0.0,2,1,24
"[1, 4]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[1, 7]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[1, 8]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[1, 9]","[1, 1]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[1, 10]","[1, 0]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[1, 11]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[1, 12]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[1, 13]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[3, 10]","[2, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[3, 12]","[2, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[4, 7]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[4, 9]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[4, 10]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[4, 11]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[6, 9]","[0, 1]","[24, 25]",2,2,0,0.0,2,1,24
"[6, 10]","[0, 0]","[24, 25]",2,2,0,0.0,2,1,24
"[7, 9]","[0, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[7, 10]","[0, 0]","[24, 25]",2,1,2,0.6666666666666666,3,1,24
"[7, 11]","[0, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[7, 12]","[0, 1]","[24, 25]",2,0,2,1.0,2,1,24
"[8, 9]","[1, 1]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[8, 10]","[1, 0]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[8, 12]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[8, 13]","[1, 0]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[9, 10]","[1, 0]","[24, 25]",2,3,1,0.25,4,1,24
"[9, 11]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[9, 12]","[1, 1]","[24, 25]",2,1,1,0.5,2,1,24
"[9, 13]","[1, 0]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[10, 11]","[0, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[10, 12]","[0, 1]","[24, 25]",2,1,2,0.6666666666666666,3,1,24
"[10, 13]","[0, 0]","[24, 25]",2,2,1,0.3333333333333333,3,1,24
"[12, 13]","[1, 0]","[24, 25]",2,1,1,0.5,2,1,24
"[0, 8, 9]","[0, 1, 1]","[24, 25]",3,2,0,0.0,2,1,24
"[0, 8, 10]","[0, 1, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[0, 8, 13]","[0, 1, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[0, 9, 10]","[0, 1, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[0, 9, 13]","[0, 1, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[0, 10, 13]","[0, 0, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[1, 4, 7]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 4, 9]","[1, 1, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 4, 10]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 4, 11]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 7, 9]","[1, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 7, 10]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 7, 11]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 8, 9]","[1, 1, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 8, 10]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 8, 12]","[1, 1, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 8, 13]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 9, 10]","[1, 1, 0]","[24, 25]",3,2,1,0.3333333333333333,3,1,24
"[1, 9, 11]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 9, 12]","[1, 1, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 9, 13]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 10, 11]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 10, 12]","[1, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 10, 13]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[1, 12, 13]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[3, 10, 12]","[2, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 7, 9]","[1, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 7, 10]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 7, 11]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 9, 10]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 9, 11]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[4, 10, 11]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[6, 9, 10]","[0, 1, 0]","[24, 25]",3,2,0,0.0,2,1,24
"[7, 9, 10]","[0, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[7, 9, 11]","[0, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[7, 10, 11]","[0, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[7, 10, 12]","[0, 0, 1]","[24, 25]",3,0,2,1.0,2,1,24
"[8, 9, 10]","[1, 1, 0]","[24, 25]",3,2,1,0.3333333333333333,3,1,24
"[8, 9, 12]","[1, 1, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[8, 9, 13]","[1, 1, 0]","[24, 25]",3,2,1,0.3333333333333333,3,1,24
"[8, 10, 12]","[1, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[8, 10, 13]","[1, 0, 0]","[24, 25]",3,2,1,0.3333333333333333,3,1,24
"[8, 12, 13]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[9, 10, 11]","[1, 0, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[9, 10, 12]","[1, 0, 1]","[24, 25]",3,1,1,0.5,2,1,24
"[9, 10, 13]","[1, 0, 0]","[24, 25]",3,2,1,0.3333333333333333,3,1,24
"[9, 12, 13]","[1, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[10, 12, 13]","[0, 1, 0]","[24, 25]",3,1,1,0.5,2,1,24
"[0, 8, 9, 10]","[0, 1, 1, 0]","[24, 25]",4,2,0,0.0,2,1,24
"[0, 8, 9, 13]","[0, 1, 1, 0]","[24, 25]",4,2,0,0.0,2,1,24
"[0, 8, 10, 13]","[0, 1, 0, 0]","[24, 25]",4,2,0,0.0,2,1,24
"[0, 9, 10, 13]","[0, 1, 0, 0]","[24, 25]",4,2,0,0.0,2,1,24
"[1, 4, 7, 9]","[1, 1, 0, 1]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 4, 7, 10]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 4, 7, 11]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 4, 9, 10]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 4, 9, 11]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 4, 10, 11]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 7, 9, 10]","[1, 0, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 7, 9, 11]","[1, 0, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 7, 10, 11]","[1, 0, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 9, 10]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 9, 12]","[1, 1, 1, 1]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 9, 13]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 10, 12]","[1, 1, 0, 1]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 10, 13]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 8, 12, 13]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 9, 10, 11]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 9, 10, 12]","[1, 1, 0, 1]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 9, 10, 13]","[1, 1, 0, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 9, 12, 13]","[1, 1, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[1, 10, 12, 13]","[1, 0, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[4, 7, 9, 10]","[1, 0, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
"[4, 7, 9, 11]","[1, 0, 1, 0]","[24, 25]",4,1,1,0.5,2,1,24
