cols,vals,sel_idx,count_cols,rez_1,rez_0,proc,tot_rows,rez,target_ind
[0],[1],[29],1,1,1,0.5,2,0,29
[3],[0],[29],1,1,1,0.5,2,0,29
[6],[0],[29],1,3,1,0.25,4,0,29
[7],[1],[29],1,3,1,0.25,4,0,29
[9],[0],[29],1,2,1,0.3333333333333333,3,0,29
[10],[1],[29],1,2,1,0.3333333333333333,3,0,29
[11],[0],[29],1,2,1,0.3333333333333333,3,0,29
[13],[1],[29],1,2,1,0.3333333333333333,3,0,29
[15],[0],[29],1,1,1,0.5,2,0,29
"[0, 6]","[1, 0]",[29],2,1,1,0.5,2,0,29
"[0, 10]","[1, 1]",[29],2,1,1,0.5,2,0,29
"[0, 13]","[1, 1]",[29],2,1,1,0.5,2,0,29
"[3, 7]","[0, 1]",[29],2,1,1,0.5,2,0,29
"[3, 9]","[0, 0]",[29],2,1,1,0.5,2,0,29
"[6, 7]","[0, 1]",[29],2,3,0,0.0,3,0,29
"[6, 9]","[0, 0]",[29],2,2,0,0.0,2,0,29
"[6, 10]","[0, 1]",[29],2,2,1,0.3333333333333333,3,0,29
"[6, 11]","[0, 0]",[29],2,2,1,0.3333333333333333,3,0,29
"[6, 13]","[0, 1]",[29],2,2,1,0.3333333333333333,3,0,29
"[7, 9]","[1, 0]",[29],2,2,1,0.3333333333333333,3,0,29
"[7, 10]","[1, 1]",[29],2,2,0,0.0,2,0,29
"[7, 11]","[1, 0]",[29],2,2,0,0.0,2,0,29
"[7, 13]","[1, 1]",[29],2,2,0,0.0,2,0,29
"[7, 15]","[1, 0]",[29],2,1,1,0.5,2,0,29
"[9, 11]","[0, 0]",[29],2,2,0,0.0,2,0,29
"[9, 15]","[0, 0]",[29],2,1,1,0.5,2,0,29
"[10, 11]","[1, 0]",[29],2,1,1,0.5,2,0,29
"[10, 13]","[1, 1]",[29],2,1,1,0.5,2,0,29
"[11, 13]","[0, 1]",[29],2,1,1,0.5,2,0,29
"[0, 6, 10]","[1, 0, 1]",[29],3,1,1,0.5,2,0,29
"[0, 6, 13]","[1, 0, 1]",[29],3,1,1,0.5,2,0,29
"[0, 10, 13]","[1, 1, 1]",[29],3,1,1,0.5,2,0,29
"[3, 7, 9]","[0, 1, 0]",[29],3,1,1,0.5,2,0,29
"[6, 7, 9]","[0, 1, 0]",[29],3,2,0,0.0,2,0,29
"[6, 7, 10]","[0, 1, 1]",[29],3,2,0,0.0,2,0,29
"[6, 7, 11]","[0, 1, 0]",[29],3,2,0,0.0,2,0,29
"[6, 7, 13]","[0, 1, 1]",[29],3,2,0,0.0,2,0,29
