HomeTeam,AwayTeam,Date,HT_HM_1h_s,HT_HM_1h_m,HT_HM_2h_s,HT_HM_2h_m,HT_AM_1h_s,HT_AM_1h_m,HT_AM_2h_s,HT_AM_2h_m,AT_HM_1h_s,AT_HM_1h_m,AT_HM_2h_s,AT_HM_2h_m,AT_AM_1h_s,AT_AM_1h_m,AT_AM_2h_s,AT_AM_2h_m,HT_FM_1h_s,HT_FM_2h_s,AT_FM_1h_s,AT_FM_2h_s
Aston Villa,Everton,2019-08-23,0,2,1,0,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0
Norwich,Chelsea,2019-08-24,1,0,2,1,0,4,1,0,1,0,0,1,0,1,0,3,2,0,2,1
Brighton,Southampton,2019-08-24,0,0,1,1,1,0,2,0,0,1,1,1,0,0,0,3,0,0,0,2
Man United,Crystal Palace,2019-08-24,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1
Sheffield United,Leicester,2019-08-24,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1
Watford,West Ham,2019-08-24,0,1,0,2,0,1,0,0,0,1,0,4,0,0,1,1,1,0,1,2
Liverpool,Arsenal,2019-08-24,4,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,2,0,1
Bournemouth,Man City,2019-08-25,0,0,1,1,2,0,0,1,2,1,0,1,1,0,4,0,1,0,2,1
Tottenham,Newcastle,2019-08-25,0,1,3,0,1,2,1,0,0,0,0,1,0,1,1,2,0,0,1,0
Wolves,Burnley,2019-08-25,0,1,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,1,0
Southampton,Man United,2019-08-31,0,1,1,1,0,0,2,0,0,1,1,1,1,0,0,1,0,1,1,0
Chelsea,Sheffield United,2019-08-31,1,0,0,1,2,2,1,0,0,1,1,1,0,0,1,1,2,0,0,2
Crystal Palace,Aston Villa,2019-08-31,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,3,0,1,0,0
Leicester,Bournemouth,2019-08-31,0,0,0,0,1,0,1,1,1,2,0,1,2,0,0,1,2,1,1,0
Man City,Brighton,2019-08-31,2,1,0,1,2,1,1,0,0,0,0,2,1,0,2,0,2,2,0,0
Newcastle,Watford,2019-08-31,0,0,0,1,1,0,0,0,1,1,0,2,0,1,0,0,1,0,1,0
West Ham,Norwich,2019-08-31,0,1,0,4,1,1,2,0,2,2,0,1,0,4,1,0,1,1,0,0
Burnley,Liverpool,2019-08-31,0,0,3,0,1,0,0,1,1,0,2,1,1,0,1,1,0,0,2,1
Everton,Wolves,2019-09-01,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,2,1,1,1
Arsenal,Tottenham,2019-09-01,1,1,1,0,0,1,1,2,0,1,0,0,1,2,1,0,1,1,2,0
Liverpool,Newcastle,2019-09-14,1,0,2,1,2,0,1,0,1,1,0,0,1,0,0,0,2,1,1,0
Brighton,Burnley,2019-09-14,0,0,0,2,0,2,0,2,0,2,0,1,1,0,0,1,0,1,0,1
Man United,Leicester,2019-09-14,0,1,1,1,1,0,0,1,2,1,1,0,1,0,1,1,1,0,0,0
Sheffield United,Southampton,2019-09-14,0,1,1,1,0,2,2,0,0,1,1,0,0,0,2,0,0,0,0,1
Tottenham,Crystal Palace,2019-09-14,0,1,0,0,2,1,0,1,0,0,1,0,1,0,1,1,4,0,0,0
Wolves,Chelsea,2019-09-14,0,1,1,0,1,2,1,1,2,0,0,2,2,2,1,0,0,2,3,2
Norwich,Man City,2019-09-14,2,2,0,1,0,1,0,1,2,0,2,0,2,1,1,0,2,1,1,1
Bournemouth,Everton,2019-09-15,1,2,0,1,1,2,0,1,2,1,1,1,0,1,0,1,1,2,1,0
Watford,Arsenal,2019-09-15,1,1,0,2,1,1,0,0,1,2,1,0,0,1,1,2,0,2,2,0
Aston Villa,West Ham,2019-09-16,1,0,1,0,0,0,0,1,1,0,1,0,1,1,2,0,0,0,0,0
Southampton,Bournemouth,2019-09-20,0,1,1,0,0,0,1,0,1,1,2,0,1,2,0,1,0,1,2,1
Leicester,Tottenham,2019-09-21,2,1,1,0,0,1,0,0,4,0,0,0,2,1,0,1,0,2,1,0
Burnley,Norwich,2019-09-21,0,2,0,1,0,0,1,1,2,1,1,1,0,1,0,1,2,0,0,0
Everton,Sheffield United,2019-09-21,2,1,1,1,1,1,0,2,0,0,0,1,0,2,2,0,0,0,1,1
